BuildingType,PrimaryPropertyType,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),UsageComplexity,HasNaturalGas,HasSteam,DensityPerFloor,IsLargeBuilding,IsDowntown
NonResidential,Hotel,DOWNTOWN,12,88434,88434,Hotel,Hotel,88434.0,,,,,7226362.5,1,1,1,7369.5,1,1
NonResidential,Hotel,DOWNTOWN,11,103566,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,8387933.0,3,1,0,8045.636363636364,1,1
NonResidential,Hotel,DOWNTOWN,41,956110,759392,Hotel,Hotel,756493.0,,,,,72587024.0,1,1,1,18521.75609756097,1,1
NonResidential,Hotel,DOWNTOWN,10,61320,61320,Hotel,Hotel,61320.0,,,,,6794584.0,1,1,1,6132.0,1,1
NonResidential,Hotel,DOWNTOWN,18,175580,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,14172606.0,3,1,0,6310.0,1,1
Nonresidential COS,Other,DOWNTOWN,2,97288,60090,Police Station,Police Station,88830.0,,,,,12086616.0,1,1,0,30045.0,1,1
NonResidential,Hotel,DOWNTOWN,11,83008,83008,Hotel,Hotel,81352.0,,,,,5758795.0,1,1,0,7546.181818181818,1,1
NonResidential,Other,DOWNTOWN,8,102761,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,6298131.5,1,1,1,12845.125,1,1
NonResidential,Hotel,DOWNTOWN,15,163984,163984,Hotel,Hotel,163984.0,,,,,13723820.0,1,1,0,10932.266666666666,1,1
NonResidential,Hotel,DOWNTOWN,11,153163,133884,Hotel,Hotel,133884.0,,,,,16016644.0,1,1,1,12171.272727272728,1,1
NonResidential,Hotel,DOWNTOWN,25,333176,272015,Hotel,Hotel,336640.0,,,,,26941110.0,1,1,1,10880.6,1,1
NonResidential,Hotel,DOWNTOWN,9,65009,65009,Hotel,Hotel,65009.0,,,,,6596057.5,1,1,1,7223.222222222223,1,1
NonResidential,Hotel,DOWNTOWN,33,315952,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,22325364.0,2,1,1,7828.848484848485,1,1
NonResidential,Hotel,DOWNTOWN,11,92190,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,10750010.0,2,1,1,6090.0,1,1
Nonresidential COS,Other,DOWNTOWN,11,412000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,18588860.0,3,0,1,32272.727272727272,1,1
NonResidential,Other,DOWNTOWN,6,103911,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,9956396.0,3,1,1,17318.5,1,1
NonResidential,Hotel,DOWNTOWN,28,416281,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,33556756.0,2,1,0,11831.464285714286,1,1
NonResidential,Mixed Use Property,DOWNTOWN,5,57452,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,7606084.5,5,1,1,11490.4,1,1
NonResidential,Hotel,DOWNTOWN,10,104352,104352,Hotel,Hotel,104352.0,,,,,10154608.0,1,1,1,10435.2,1,1
NonResidential,Other,DOWNTOWN,10,540360,540360,Courthouse,Courthouse,537150.0,,,,,44984468.0,1,1,0,54036.0,1,1
NonResidential,Other,DOWNTOWN,19,385274,385274,Other,Other,385274.0,,,,,47859812.0,1,1,0,20277.57894736842,1,1
SPS-District K-12,K-12 School,SOUTHEAST,2,56228,56228,K-12 School,K-12 School,58916.0,,,,,1539478.5,1,1,0,28114.0,1,0
NonResidential,Hotel,NORTHEAST,6,88592,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,3663534.5,2,1,0,9667.666666666666,1,0
NonResidential,University,DOWNTOWN,7,126593,126593,College/University,College/University,125000.0,,,,,11343686.0,1,1,0,18084.714285714286,1,1
NonResidential,Other,DOWNTOWN,2,67224,67224,Automobile Dealership,Automobile Dealership,67224.0,,,,,1310236.625,1,0,0,33612.0,1,1
NonResidential,Hotel,EAST,8,158676,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,5328051.5,4,1,0,16046.875,1,0
NonResidential,Hotel,DOWNTOWN,10,171866,133585,Hotel,Hotel,128909.0,,,,,11061916.0,1,1,0,13358.5,1,1
SPS-District K-12,K-12 School,Central,1,126351,126351,K-12 School,K-12 School,126351.0,,,,,0.0,1,0,0,126351.0,1,0
NonResidential,Hotel,DOWNTOWN,5,68410,52210,Hotel,Hotel,47994.0,,,,,4456714.5,1,1,0,10442.0,1,1
SPS-District K-12,K-12 School,NORTH,2,160645,160645,K-12 School,K-12 School,164229.0,,,,,6779173.0,1,1,0,80322.5,1,0
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,2,51582,51582,K-12 School,K-12 School,55166.0,,,,,0.0,1,0,0,25791.0,1,0
